review,sentiment
sure speak everyone when wait tearing apart,Positive
this looks like another masterpiece bravo tommy approved #theroom,Positive
this looks cool,Positive
this sooo cool,Positive
holy shit franco nails,Negative
someone watched nostalgia critic lmao,Positive
subscribe please https youtube channel ucsvj wybjutg,Positive
beautiful,Positive
last scene lmao,Positive
best movie ever,Positive
excited,Positive
does disappoint,Negative
this this looks beautiful,Positive
this actually looks cool,Positive
watch clicking here people entertaining,Positive
does with long hair look like john mayer,Positive
power disease care cure keep caring yourself others best this life,Positive
this looks like great video after done would kind enough check youtube channel give some feedback maybe even subscribing,Positive
been waiting since greg book came excited,Positive
next thing know tommy wiseau stage accepting best picture,Positive
friends please subscribe channel,Positive
james does that voice fucking well holy shit,Negative
wish original story with tommy instead having remember earlier project almost like this film making work,Positive
does voice good,Positive
great trailer could more excited this movie also anyone know song name,Positive
first didn like that voice grew,Positive
greatest movie about greatest movie,Positive
believe video kittens outside over million views check that subscribe button xoxo sarina nhttps youtu dcjk ajckg,Positive
full retard half retard tell,Negative
still believe that original movie made,Positive
justice league thor star wars damned this most anticipated upcoming movie,Negative
have never been more excited film,Negative
hope vampire finale some sort,Positive
totally wait this movie james franco does good tommy wiseau,Positive
really want some kind video wiseau responding this movie,Positive
didn they hire greg himself tell they want good actor instead they hired dave franco seth lithel brader,Positive
having seen original going much please everyone room before seeing this,Positive
damn james franco soooo good sounds exactly like real,Positive
these brothers seem like best friends wish could close brother thing have,Positive
harry guys spiderman best friend,Positive
wouldn most ironic thing ever this movie gets james franco oscar nomination,Negative
wait this december definitely oscar nominations coming,Positive
book true literary masterpiece just like movie room,Positive
damn accurate,Negative
after seeing teaser little concerned about james franco accent anymore that spot this looks fantastic just because accent cannot wait this,Positive
this great fake trailer,Positive
performance looks much better than teaser,Positive
best remake ever,Positive
good look many frends also maybe jonny vampyre,Positive
wait this seems like modern wood,Positive
take bunch tries tommy lines right this movie already gonna inaccurate terrible,Negative
looks like they made terrible movie about making terrible movie exactly what world needs right,Negative
watch love watching films https youtu zmgekuj,Positive
your reading this just want have good have small channel with very subscribers really appreciate gave videos chance sorry bother,Positive
love this movie much,Positive
guys hope having great excited about this movie from small youtuber dreams making,Positive
would much better without that sexual garbage,Positive
think room would have been better movie johnny vampire,Positive
please brendan fraser trilogy nplease please please,Positive
book from original mummy there,Positive
this looks like great video after done would kind enough check youtube channel give some feedback maybe even subscribing,Positive
last scene dessert funny though,Positive
fact nthey didnt even shoot egypt they shot different desert pyramids,Positive
gotta room with disaster artist trailer release,Negative
need honest trailer room before disaster artist comes,Negative
please honest trailer justice league animated series justice league flashpoint paradox,Positive
mobile please sold feels gooooood,Positive
movie that even this honest trailer sucked,Positive
this sick,Negative
please also daaaaaaan,Positive
were still nice them,Positive
love these videos,Positive
best part movie credits,Positive
amazing spider universal monsters edition,Positive
movie okay,Positive
